filename,link
1163.jpg,http://assets.myntassets.com/v1/images/style/properties/Nike-Sahara-Team-India-Fanwear-Round-Neck-Jersey_2d27392cc7d7730e8fee0755fd41d30c_images.jpg
1164.jpg,http://assets.myntassets.com/v1/images/style/properties/Nike-Men-Blue-T20-Indian-Cricket-Jersey_12975d4d66eefad43ba02dea5787cce4_images.jpg
1165.jpg,http://assets.myntassets.com/assets/images/1165/2018/2/28/11519814282010-Nike-Mean-Team-India-Cricket-Jersey-6241519814281812-1.jpg
1525.jpg,http://assets.myntassets.com/v1/images/style/properties/dd1e2ebbe2712f298db549d0962b9aa2_images.jpg
1526.jpg,http://assets.myntassets.com/v1/images/style/properties/6c920a7a479c59fa361548c0d1f74f9d_images.jpg
1528.jpg,http://assets.myntassets.com/v1/images/style/properties/5217707cfecada95eca6fa33a88cc833_images.jpg
1529.jpg,http://assets.myntassets.com/v1/images/style/properties/aa0b42f2cdd16107a56b7190b4a1f542_images.jpg
1530.jpg,http://assets.myntassets.com/v1/images/style/properties/470f495a596697306cc22fe87b8c5916_images.jpg
1531.jpg,http://assets.myntassets.com/v1/images/style/properties/6646ae2e4751cf5b135c233ad900f333_images.jpg
1532.jpg,http://assets.myntassets.com/v1/images/style/properties/5fd41c8046d45cbdc8b3b9690a6fd6be_images.jpg
1533.jpg,http://assets.myntassets.com/v1/images/style/properties/ce424f00da35e5aaf200393b1bf7d9dd_images.jpg
1534.jpg,http://assets.myntassets.com/v1/images/style/properties/c1fb30361762f0d1e5d553422eb718e8_images.jpg
1535.jpg,http://assets.myntassets.com/v1/images/style/properties/bfa6bc3cf0134934aefc6abfa07486dc_images.jpg
1536.jpg,http://assets.myntassets.com/v1/images/style/properties/1338763a483e61bccc60b62c7a9026c6_images.jpg
1537.jpg,http://assets.myntassets.com/v1/images/style/properties/20a4bd409d2f3d7d03f73d271870ec43_images.jpg
1538.jpg,http://assets.myntassets.com/v1/images/style/properties/2c88e0246d886c8e25ee48051415d29a_images.jpg
1539.jpg,http://assets.myntassets.com/v1/images/style/properties/1f978791c85838728fdd3140592da89a_images.jpg
1540.jpg,http://assets.myntassets.com/v1/images/style/properties/de56aa695dee85e52940259ae95026cc_images.jpg
1541.jpg,http://assets.myntassets.com/v1/images/style/properties/f64b458800bc9aff9805bb53ea1d01e3_images.jpg
1542.jpg,http://assets.myntassets.com/v1/images/style/properties/9fde418adaf266ebb1b66bfe9640bd61_images.jpg
1543.jpg,http://assets.myntassets.com/v1/images/style/properties/09a1078b51c583bdb9bd4f54c6a10e75_images.jpg
1544.jpg,http://assets.myntassets.com/v1/images/style/properties/e5bbf781372cc7f852f7346c89eb2924_images.jpg
1545.jpg,http://assets.myntassets.com/v1/images/style/properties/e4aec9cca8e2b2f1f4e1957c22d28f1e_images.jpg
